Milpitas,00000,-121.8910940840805,37.41028235996102
Berryessa/North San José,00001,-121.87469384313,37.36847828910366
Civic Center/UN Plaza,00002,-122.4139364152156,37.77939386076284
Concord,00003,-122.02906202247,37.97382498587113
Colma,00004,-122.4662231559498,37.68462160749745
El Cerrito Plaza,00005,-122.2989484071958,37.90263522650319
Daly City,00006,-122.4689119071664,37.70633321337757
North Concord/Martinez,00007,-122.024552314249,38.00332451679773
Fremont,00008,-121.976626395132,37.55747442735048
Glen Park,00009,-122.4337900883829,37.73311239451952
Hayward,00010,-122.0869599532777,37.66969738355481
El Cerrito del Norte,00011,-122.3169151214356,37.92519241672753
Coliseum,00012,-122.1968592134025,37.75368874735477
Downtown Berkeley,00013,-122.2681588195892,37.87031611248491
Bay Fair,00014,-122.1264596293895,37.69691620335449
Balboa Park,00015,-122.4475873574919,37.72135058802738
San Bruno,00016,-122.4162666630641,37.63770374268253
South Hayward,00017,-122.0571973085168,37.63435057014369
Walnut Creek,00018,-122.0673293828924,37.90581393318735
North Berkeley,00019,-122.2834337151097,37.87397422674051
Orinda,00020,-122.1837536902055,37.87843136876595
West Oakland,00021,-122.2951608275967,37.80488709440733
San Leandro,00022,-122.1607506968879,37.72178541354243
16th St/Mission,00023,-122.4197081435103,37.76505423932072
24th St/Mission,00024,-122.4184678760468,37.75223145165559
12th St/Oakland City Center,00025,-122.2716760457217,37.80359016475848
Union City,00026,-122.0172560140018,37.59073431646975
West Dublin/Pleasanton,00027,-121.9280770983018,37.69975069922058
Millbrae,00028,-122.3868504992541,37.6001940991035
Montgomery St,00029,-122.4011747105981,37.78944952039284
Dublin/Pleasanton,00030,-121.8990739680308,37.70168178489018
Lake Merritt,00031,-122.2652268340203,37.79729295255638
Pleasant Hill/Contra Costa Centre,00032,-122.0559783959091,37.92844179596903
MacArthur,00033,-122.2670634889681,37.82908330072793
Powell St,00034,-122.4070176588271,37.78487089662774
Richmond,00035,-122.3530605158744,37.936749886958
Rockridge,00036,-122.2513146330438,37.84473931018144
San Francisco International Airport,00037,-122.3924140752074,37.61599767962682
Embarcadero,00038,-122.3969009943399,37.79285391372556
Pittsburg/Bay Point,00039,-121.9439800963829,38.01891419708769
Castro Valley,00040,-122.0756066931697,37.69074797609723
Lafayette,00041,-122.1246473347906,37.89318568337649
South San Francisco,00042,-122.4439776627616,37.66421053890029
19th St/Oakland,00043,-122.2686539732402,37.80849328724768
Ashby,00044,-122.2699939627479,37.85257465083495
Fruitvale,00045,-122.224179418194,37.7748944568354
Oakland International Airport,00046,-122.2124401712403,37.71297181882012
Warm Springs/South Fremont,00047,-121.9394330281567,37.5023349701207
Coliseum/Airport Connector,00048,-122.1961830183375,37.75230496505575
eBART Transfer,00049,-121.9328174472904,38.01893663101233
Pittsburg Center,00050,-121.8894701561252,38.01694606342254
Antioch,00051,-121.7804333645261,37.99539272912601
